"Khu_vuc","Tong_Tieu_Thu_kWh","Tong_Cong_Suat_Thuy_Dien","Tong_Cong_Suat_Gio","Tong_Cong_Suat_Dia_Nhiet"
"Bắc Mỹ",5163,27064,890.943,5406.9697
"Bắc Phi",234,5956,0,0
"Bắc Âu",400,11682,0,0
"Châu Đại Dương",1502,20148,991.003,8234
"Nam Mỹ",844,15024,2.454,4212
"Nam Phi",233,3840,322,84
"Nam Á",1527,16860,15.145,992
"Nam Âu",246,4200,333,147
"Trung Á",75,2779,0,0
"Tây Á",1056,20950,1630.846,1604
"Tây Âu",1695,32493,6.285,4541
"Đông Nam Á",901,16240,1.538,95
"Đông Á",9156,43744,820.973,5694.687
"Đông Âu",310,6467.5,0,0
