"Quoc_Gia","Muc_Tieu_Thu_kWh","Dan_so","Tieu_Thu_Binh_Quan_kWh","Quoc_Gia_dung_NL_Thuy_Dien","Tong_Cong_Suat_NL_Thuy_Dien_MW","Quoc_Gia_dung_NL_Gio","Cong_suat_gio_MW","Quoc_Gia_dung_NL_Dia_Nhiet","Cong_suat_dia_nhiet_MW"
"Algeria","66","44","1.5","Ai Cập",2100,"Anh","2.389","Austria","1,1"
"Argentina","138","46","3","Argentina  Paraguay",3100,"Áo","982","Bồ Đào Nha","23"
"Australia","225","26","8.65","Brasil",19520.4,"Ấn Độ","8.000","Costa Rica","162,5"
"Austria","73","9.1","8.02","Brasil  Paraguay",14000,"Bồ Đào Nha","2.150","El Salvador","204,2"
"Belgium","98","11.8","8.33","Brazil",15506,"Canada","1.846","Ethiopia","7,3"
"Brazil","550","215","2.56","Canada",29205,"Cộng hòa Ireland","805","Guatemala","53"
"Canada","595","38.1","15.62","Hoa Kỳ",19297,"Hà Lan","1.746","Hoa Kỳ","2.687"
"Chile","84","19.2","4.38","Iran",6280,"Hoa Kỳ","16.818","Iceland","421,2"
"China","7,214","1,443","5","Malaysia",2400,"Hy Lạp","871","Indonesia","992"
"Denmark","35","5.8","6.02","Mozambique",2075,"Na Uy","333","Kenya","128,8"
"Egypt","168","105","1.6","México",2430,"New Zealand","322","Mexico","953"
"Finland","90","5.6","16.03","Nga",30910.5,"Nhật Bản","1.538","New Zealand","471,6"
"France","463","67.7","6.84","Pakistan",4888,"Pháp","2.454","Nga","79"
"Germany","539","82.2","6.55","România  Serbia",2252.8,"Tây Ban Nha","15.145","Nhật Bản","535,2"
"India","1,403","1,401","1","Tajikistan",3015,"Thụy Điển","788","Nicaragua","87,4"
"Indonesia","308","276","1.17","Thổ Nhĩ Kỳ",2400,"Trung Quốc","6.050","Papua-New Guinea","56"
"Iran","280","83.3","3.36","Thụy Sĩ",2069,"Úc","824","Pháp","14,7"
"Ireland","28","5.5","5.1","Trung Quốc",105759,"Ý","2.726","Philippines","1.969,7"
"Israel","59","9.4","6.27","Venezuela",15562.5,"Đan Mạch","3.125","Thái Lan","0,3"
"Italy","300","60","5","Việt Nam",2400,"Đức","22.247","Thổ Nhĩ Kỳ","38"
"Japan","1,132","126","8.98",NA,NA,NA,NA,"Trung Quốc","27,8"
"Kazakhstan","75","18.7","4",NA,NA,NA,NA,"Úc","0,2"
"Malaysia","170","33.2","5.12",NA,NA,NA,NA,"Ý","810,5"
"Mexico","296","127","2.33",NA,NA,NA,NA,"Đức","8,4"
"Netherlands","120","17.5","6.86",NA,NA,NA,NA,NA,NA
"New Zealand","43","5","8.6",NA,NA,NA,NA,NA,NA
"Norway","128","5.5","23.27",NA,NA,NA,NA,NA,NA
"Pakistan","124","226","0.55",NA,NA,NA,NA,NA,NA
"Poland","156","37.5","4.17",NA,NA,NA,NA,NA,NA
"Russia","934","146","6.4",NA,NA,NA,NA,NA,NA
"Saudi Arabia","317","36","8.81",NA,NA,NA,NA,NA,NA
"South Africa","233","60","3.88",NA,NA,NA,NA,NA,NA
"South Korea","553","51.2","10.8",NA,NA,NA,NA,NA,NA
"Spain","246","46.8","5.26",NA,NA,NA,NA,NA,NA
"Sweden","147","10.2","14.4",NA,NA,NA,NA,NA,NA
"Switzerland","62","9.3","6.67",NA,NA,NA,NA,NA,NA
"Taiwan","257","23.8","10.8",NA,NA,NA,NA,NA,NA
"Thailand","203","70","2.9",NA,NA,NA,NA,NA,NA
"Turkey","264","84","3.14",NA,NA,NA,NA,NA,NA
"Ukraine","154","43.2","3.56",NA,NA,NA,NA,NA,NA
"United Arab Emirates","136","10.2","13.33",NA,NA,NA,NA,NA,NA
"United Kingdom","312","68.4","4.56",NA,NA,NA,NA,NA,NA
"United States","4,272","336","12.71",NA,NA,NA,NA,NA,NA
"Venezuela","72","28.1","2.56",NA,NA,NA,NA,NA,NA
"Vietnam","220","100","2.2",NA,NA,NA,NA,NA,NA
